id,clave,variante,descripcion,informacion,disponible,marca,categoria,existencias,precioant,precio,destacado,orden_prod,orden_cat,createdat,related_products
1,17624,,Aceite sintético para motor de 2 tiempos,"Aceite sintético para motor de 2 tiempos, 100 ml (3 oz) , para cortasetos fumigadores, motosierras y desbrozadoras.",1 dia,Truper,Aceites y lubricantes,,,42,,,,,[]
2,14929,,"Aceite semi-sintético, 4 tiempos","Aceite semi-sintético, 4 tiempos, 1000ml (34 oz) para motobombas, hidrolavadoras, motocicletas y generadores .",1 dia,Truper,Aceites y lubricantes,,,149,,,,,[]
3,101975,,Lubricante de cadenas en aerosol,"Lubricante de cadenas en aerosol 400 ml, para cadenas eslabones de cadenas y transmisiones de bicicleta",1 dia,Truper,Aceites y lubricantes,,,85,,,,,[]
4,13469,,Lubricante multiusos en aerosol,"Lubricante multiusos en aerosol, 235ml (8oz), protege contra la corrosion y oxidacion .",1 dia,Truper,Aceites y lubricantes,,,49,,,,,[]
5,13468,,Lubricante multiusos en aerosol,"Lubricante multiusos en aerosol, 110ml (4oz), protege contra la corrosion y oxidacion",1 dia,Truper,Aceites y lubricantes,,,37,,,,,[]
6,17111,,Limpiador de carburador,"Limpiador de carburador, 470ml (16oz), limpia y remueve grasa, aceite, polvo y suciedad",1 dia,Truper,Aceites y lubricantes,,,77,,,,,[]
7,12783,,"Grasa lubricante multiusos, base litio","Grasa lubricante multiusos, base litio, 450 g, recubre y penetra",1 dia,Truper,Aceites y lubricantes,,,89,,,,,[]
8,16712,,Aceite multiusos,"Aceite multiusos, 90ml (3oz), protege contra oxidacion y corrosion",1 dia,Truper,Aceites y lubricantes,,,29,,,,,[]
9,14870,,Aceitera,"Aceitera de 180 ml (6 oz) con aplicador flexible, cuerpo de acero con boquilla de laton solido",1 dia,Truper,Aceites y lubricantes,,,85,,,,,[]
10,13029,,"Cargador de baterías 200a, 12v","Cargador de baterías 35 a, arrancador de 200a, 12v arranque intermitente",1 dia,Truper,Automotriz,,,3750,,,,,[]
11,13027,,"Cargador automatico de baterias 75 A, 6 y 12 V","Cargador de baterías 10 a, arrancador de 50a, 12v, arranque intermitente",1 dia,Truper,Automotriz,,,1175,,,,,[]
12,17543,,Cables pasa corriente,"Cables pasa corriente 3 m, 225 a, 8 awg, con funda, mayor flexibilidad, recubiertos de PVC",1 dia,Truper,Automotriz,,,255,,,,,[]
13,10940,,Inflallantas,"Inflallantas de 12 oz (340 g), inflan, sellan y reparan fugas y pinchaduras temporalmente",1 dia,Truper,Automotriz,,,67,,,,,[]
14,23042,,Juego de terminales para bateria,"Blíster 2 terminales p/batería, latón poste superior, pretul",1 dia,Pretul,Automotriz,,,103,,,,,[]
15,10490,,Inversores de corriente conpuerto USB,Inversor de corriente de 750 w con puertos usb,1 dia,Truper,Automotriz,,,1495,,,,,[]
16,10943,,Triangulos de seguridad,"Triángulo de seguridad, 11"", con reflejante de alta visibilidad",1 dia,Truper,Automotriz,,,125,,,,,[]
17,15481,,Llaves de cruz cromadas,"Llave de cruz 20"" pulida y cromada, con cuadro de 1/2",1 dia,Truper,Automotriz,,,259,,,,,[]
18,15480,,Llaves de cruz cromadas,"Llave de cruz 18"" pulida y cromada, con cuadro de 1/2",1 dia,Truper,Automotriz,,,227,,,,,[]
19,21801,,Llaves de cruz galvanizadas,"Llave de cruz 18"", acabado negro mate, con acabado mate que resiste la corrosion",1 dia,Pretul,Automotriz,,,190,,,,,[]
20,19999,,"Inflador portátil para auto, con linterna led,","Inflador portátil 12 v para auto, con linterna led, ideal para inflar neumaticos",1 dia,Truper,Automotriz,,,775,,,,,[]
21,17877,,Eslingas ojo a ojo,"Eslinga de poliéster, ojo a ojo, 4"" x 6 m, ojos reforzados, banda plana",1 dia,Truper,Automotriz,,,590,,,,,[]
22,22021,,Juego de tensores,Juego de 8 tensores elásticos de hule recubierto de polipropileno,1 dia,Pretul,Automotriz,,,125,,,,,[]
23,25093,,Juego de tensores,"Bolsa con 2 tensores elásticos azules de 90 cm, recubierto de polipropileno",1 dia,Pretul,Automotriz,,,35,,,,,[]
